en
S,en,Ukraine,ru,Украина,ru,Україна
T,en,Dobrjachin,ru,Добрячин,ua,Добрячин
T,en,Domashiv,ru,Домашiв,ua,Домашiв
T,en,Zhvirka,ru,Жвирка,ua,Жвирка
T,en,Zhuzheljani,ru,Жужеляни,ua,Жужеляни
T,en,Zabolottja,ru,Заболоття,ua,Заболоття
T,en,Zabuzhzhja,ru,Забужжя,ua,Забужжя
T,en,Zavishen',ru,Завишень,ua,Завишень
T,en,Zubkiv,ru,Зубкiв,ua,Зубкiв
T,en,Il'kovichi,ru,Iльковичi,ua,Iльковичi
T,en,Kariv,ru,Карiв,ua,Карiв
T,en,Knjazhe,ru,Княже,ua,Княже
T,en,Komariv,ru,Комарiв,ua,Комарiв
T,en,Korchiv,ru,Корчiв,ua,Корчiв
T,en,Kulichkiv,ru,Куличкiв,ua,Куличкiв
T,en,Luchitsi,ru,Лучицi,ua,Лучицi
T,en,Mezhirichchja,ru,Межирiччя,ua,Межирiччя
T,en,Murovane,ru,Муроване,ua,Муроване
T,en,Nizi,ru,Низи,ua,Низи
T,en,Opil's'ko,ru,Опiльсько,ua,Опiльсько
T,en,Ostriv,ru,Острiв,ua,Острiв
T,en,Perev'JAtichi,ru,Перев'Ятичi,ua,Перев'Ятичi
T,en,Perespa,ru,Переспа,ua,Переспа
T,en,Perestoki,ru,Перестоки,ua,Перестоки
T,en,Potoritsja,ru,Поториця,ua,Поториця
T,en,Pristan',ru,Пристань,ua,Пристань
T,en,Reklinets',ru,Реклинець,ua,Реклинець
T,en,Savchin,ru,Савчин,ua,Савчин
T,en,Svitaziv,ru,Свитазiв,ua,Свитазiв
T,en,Sebechiv,ru,Себечiв,ua,Себечiв
T,en,Silets',ru,Сiлець,ua,Сiлець
T,en,Skomorohi,ru,Скоморохи,ua,Скоморохи
T,en,Smikiv,ru,Смикiв,ua,Смикiв
T,en,Sokal',ru,Сокаль,ua,Сокаль
T,en,Spasiv,ru,Спасiв,ua,Спасiв
T,en,Stenjatin,ru,Стенятин,ua,Стенятин
T,en,Stoyivka,ru,Стоївка,ua,Стоївка
T,en,Stremin',ru,Стремiнь,ua,Стремiнь
T,en,Tartakiv,ru,Тартакiв,ua,Тартакiв
T,en,Teljazh,ru,Теляж,ua,Теляж
T,en,Tudorkovichi,ru,Тудорковичi,ua,Тудорковичi
T,en,Ugniv,ru,Угнiв,ua,Угнiв
T,en,Ugriniv,ru,Угринiв,ua,Угринiв
T,en,Ul'vivek,ru,Ульвiвек,ua,Ульвiвек
T,en,Fusiv,ru,Фусiв,ua,Фусiв
T,en,Hlivchani,ru,Хлiвчани,ua,Хлiвчани
T,en,Horobriv,ru,Хоробрiв,ua,Хоробрiв
T,en,Babino,ru,Бабино,ua,Бабино
T,en,Bilichi,ru,Биличi,ua,Биличi
T,en,Bilichi,ru,Бiличi,ua,Бiличi
T,en,Boloziv,ru,Болозiв,ua,Болозiв
T,en,Bronevichi,ru,Броневичi,ua,Броневичi
T,en,Bukova,ru,Букова,ua,Букова
T,en,Bun'kovichi,ru,Буньковичi,ua,Буньковичi
T,en,Busovis'ko,ru,Бусовисько,ua,Бусовисько
T,en,Velika linina,ru,Велика Лiнина,ua,Велика Лiнина
T,en,Velika sushitsja,ru,Велика Сушиця,ua,Велика Сушиця
T,en,Velikosillja,ru,Великосiлля,ua,Великосiлля
T,en,Verhnij luzhok,ru,Верхнiй Лужок,ua,Верхнiй Лужок
T,en,Voloshinovo,ru,Волошиново,ua,Волошиново
T,en,Volja,ru,Воля,ua,Воля
T,en,Golovets'ko,ru,Головецько,ua,Головецько
T,en,Gorodovichi,ru,Городовичi,ua,Городовичi
T,en,Groz'ovo,ru,Грозьово,ua,Грозьово
T,en,Grushatichi,ru,Грушатичi,ua,Грушатичi
T,en,Gubichi,ru,Губичi,ua,Губичi
T,en,Gumanets',ru,Гуманець,ua,Гуманець
T,en,Dobromil',ru,Добромиль,ua,Добромиль
T,en,Drozdovichi,ru,Дроздовичi,ua,Дроздовичi
T,en,Zorotovichi,ru,Зоротовичi,ua,Зоротовичi
T,en,Knjazhpil',ru,Княжпiль,ua,Княжпiль
T,en,Koblo,ru,Кобло,ua,Кобло
T,en,Koniv,ru,Конiв,ua,Конiв
T,en,Lavriv,ru,Лаврiв,ua,Лаврiв
T,en,Lopushnitsja,ru,Лопушниця,ua,Лопушниця
T,en,Ljutovis'ka,ru,Лютовиська,ua,Лютовиська
T,en,Migovo,ru,Мiгово,ua,Мiгово
T,en,Mizhenets',ru,Мiженець,ua,Мiженець
T,en,Murovane,ru,Муроване,ua,Муроване
T,en,Mshanets',ru,Мшанець,ua,Мшанець
T,en,Nadibi,ru,Надиби,ua,Надиби
T,en,Nizhankovichi,ru,Нижанковичi,ua,Нижанковичi
T,en,Nizhnja vovcha,ru,Нижня Вовча,ua,Нижня Вовча
T,en,Nove misto,ru,Нове Мiсто,ua,Нове Мiсто
T,en,Peredil'nitsja,ru,Передiльниця,ua,Передiльниця
T,en,P'jatnitsja,ru,П'ятниця,ua,П'ятниця
T,en,Rakovo,ru,Раково,ua,Раково
T,en,Rip'jana,ru,Рiп'яна,ua,Рiп'яна
T,en,Skelivka,ru,Скелiвка,ua,Скелiвка
T,en,Slohini,ru,Слохинi,ua,Слохинi
T,en,Soljanuvatka,ru,Солянуватка,ua,Солянуватка
T,en,Starij sambir,ru,Старий Самбiр,ua,Старий Самбiр
T,en,Stara sil',ru,Стара Сiль,ua,Стара Сiль
T,en,Stara ropa,ru,Стара Ропа,ua,Стара Ропа
T,en,Starjava,ru,Старява,ua,Старява
T,en,Strashevichi,ru,Страшевичi,ua,Страшевичi
T,en,Strilki,ru,Стрiлки,ua,Стрiлки
T,en,Stril'bichi,ru,Стрiльбичi,ua,Стрiльбичi
T,en,Susidovichi,ru,Сусiдовичi,ua,Сусiдовичi
T,en,Terlo,ru,Терло,ua,Терло
T,en,Ternava,ru,Тернава,ua,Тернава
T,en,Tershiv,ru,Тершiв,ua,Тершiв
T,en,Tisovitsja,ru,Тисовиця,ua,Тисовиця
T,en,Topil'nitsja,ru,Топiльниця,ua,Топiльниця
T,en,Torchanovichi,ru,Торчановичi,ua,Торчановичi
T,en,Trushevichi,ru,Трушевичi,ua,Трушевичi
T,en,Tur'e,ru,Тур'є,ua,Тур'є
T,en,Hiriv,ru,Хирiв,ua,Хирiв
T,en,CHapli,ru,Чаплi,ua,Чаплi
T,en,CHizhki,ru,Чижки,ua,Чижки
T,en,JAsenitsja-zamkova,ru,Ясениця-Замкова,ua,Ясениця-Замкова
T,en,Banja-lisovets'ka,ru,Баня-Лисовецька,ua,Баня-Лисовецька
T,en,Berezhnitsja,ru,Бережниця,ua,Бережниця
T,en,Bratkivtsi,ru,Браткiвцi,ua,Браткiвцi
T,en,Veliki didushichi,ru,Великi Дiдушичi,ua,Великi Дiдушичi
T,en,Verhnja lukavitsja,ru,Верхня Лукавиця,ua,Верхня Лукавиця
T,en,Verhnja stinava,ru,Верхня Стинава,ua,Верхня Стинава
T,en,Verchani,ru,Верчани,ua,Верчани
T,en,Vivnja,ru,Вiвня,ua,Вiвня
T,en,Volja-zaderevats'ka,ru,Воля-Задеревацька,ua,Воля-Задеревацька
T,en,Girne,ru,Гiрне,ua,Гiрне
T,en,Golobutiv,ru,Голобутiв,ua,Голобутiв
T,en,Grabovets',ru,Грабовець,ua,Грабовець
T,en,Dashava,ru,Дашава,ua,Дашава
T,en,Dobrivljani,ru,Добрiвляни,ua,Добрiвляни
T,en,Dobrjani,ru,Добряни,ua,Добряни
T,en,Dovge,ru,Довге,ua,Довге
T,en,Dovgoluka,ru,Довголука,ua,Довголука
T,en,Dolishne,ru,Долiшнє,ua,Долiшнє
T,en,Dulibi,ru,Дулiби,ua,Дулiби
T,en,Zhulin,ru,Жулин,ua,Жулин
T,en,Zavadiv,ru,Завадiв,ua,Завадiв
T,en,Zagirne,ru,Загiрне,ua,Загiрне
T,en,Zaderevach,ru,Задеревач,ua,Задеревач
T,en,Zarichne,ru,Зарiчне,ua,Зарiчне
T,en,Josipovichi,ru,Йосиповичi,ua,Йосиповичi
T,en,Kavs'ke,ru,Кавське,ua,Кавське
T,en,Konjuhiv,ru,Конюхiв,ua,Конюхiв
T,en,Lani-sokolivs'ki,ru,Лани-Соколiвськi,ua,Лани-Соколiвськi
T,en,Lanivka,ru,Ланiвка,ua,Ланiвка
T,en,Lisovichi,ru,Лисовичi,ua,Лисовичi
T,en,Lisjatichi,ru,Лисятичi,ua,Лисятичi
T,en,Ljubintsi,ru,Любинцi,ua,Любинцi
T,en,Mali didushichi,ru,Малi Дiдушичi,ua,Малi Дiдушичi
T,en,Mirtjuki,ru,Миртюки,ua,Миртюки
T,en,Morshin,ru,Моршин,ua,Моршин
T,en,Nezhuhiv,ru,Нежухiв,ua,Нежухiв
T,en,Nizhnja stinava,ru,Нижня Стинава,ua,Нижня Стинава
T,en,Oleksichi,ru,Олексичi,ua,Олексичi
T,en,P'jatnichani,ru,П'ятничани,ua,П'ятничани
T,en,Pidgirtsi,ru,Пiдгiрцi,ua,Пiдгiрцi
T,en,Podorozhne,ru,Подорожнє,ua,Подорожнє
T,en,Pukenichi,ru,Пукеничi,ua,Пукеничi
T,en,Rozgirche,ru,Розгiрче,ua,Розгiрче
T,en,Semiginiv,ru,Семигинiв,ua,Семигинiв
T,en,Sihiv,ru,Сихiв,ua,Сихiв
T,en,Slobidka,ru,Слобiдка,ua,Слобiдка
T,en,Stankiv,ru,Станкiв,ua,Станкiв
T,en,Strij,ru,Стрий,ua,Стрий
T,en,Strigantsi,ru,Стриганцi,ua,Стриганцi
T,en,Strilkiv,ru,Стрiлкiв,ua,Стрiлкiв
T,en,Ugers'ko,ru,Угерсько,ua,Угерсько
T,en,Falish,ru,Фалиш,ua,Фалиш
T,en,Hodovichi,ru,Ходовичi,ua,Ходовичi
T,en,Truskavets',ru,Трускавець,ua,Трускавець
T,en,Bitlja,ru,Бiтля,ua,Бiтля
T,en,Boberka,ru,Боберка,ua,Боберка
T,en,Borinja,ru,Бориня,ua,Бориня
T,en,Verhne,ru,Верхнє,ua,Верхнє
T,en,Verhne visots'ke,ru,Верхнє Висоцьке,ua,Верхнє Висоцьке
T,en,Verhne gusine,ru,Верхнє Гусине,ua,Верхнє Гусине
T,en,Verhnja JAblun'ka,ru,Верхня Яблунька,ua,Верхня Яблунька
T,en,Vovche,ru,Вовче,ua,Вовче
T,en,Golovs'ke,ru,Головське,ua,Головське
T,en,Zhukotin,ru,Жукотин,ua,Жукотин
T,en,Zavadivka,ru,Завадiвка,ua,Завадiвка
T,en,Zakiptsi,ru,Закiпцi,ua,Закiпцi
T,en,Il'nik,ru,Iльник,ua,Iльник
T,en,Isayi,ru,Iсаї,ua,Iсаї
T,en,Karpats'ke,ru,Карпатське,ua,Карпатське
T,en,Komarniki,ru,Комарники,ua,Комарники
T,en,Krasne,ru,Красне,ua,Красне
T,en,Krivka,ru,Кривка,ua,Кривка
T,en,Lastivka,ru,Ластiвка,ua,Ластiвка
T,en,Libohora,ru,Либохора,ua,Либохора
T,en,Limna,ru,Лiмна,ua,Лiмна
T,en,Losinets',ru,Лосинець,ua,Лосинець
T,en,Matkiv,ru,Маткiв,ua,Маткiв
T,en,Mezhigir'ja,ru,Межигiр'я,ua,Межигiр'я
T,en,Mel'nichne,ru,Мельничне,ua,Мельничне
T,en,Mohnate,ru,Мохнате,ua,Мохнате
T,en,Nizhne,ru,Нижнє,ua,Нижнє
T,en,Nizhne visots'ke,ru,Нижнє Висоцьке,ua,Нижнє Висоцьке
T,en,Nizhnij turiv,ru,Нижнiй Турiв,ua,Нижнiй Турiв
T,en,Nizhnja JAblun'ka,ru,Нижня Яблунька,ua,Нижня Яблунька
T,en,Prislip,ru,Прислiп,ua,Прислiп
T,en,Radich,ru,Радич,ua,Радич
T,en,Rikiv,ru,Рикiв,ua,Рикiв
T,en,Rozluch,ru,Розлуч,ua,Розлуч
T,en,Siglovate,ru,Сигловате,ua,Сигловате
T,en,Sjanki,ru,Сянки,ua,Сянки
T,en,Turka,ru,Турка,ua,Турка
T,en,Haschiv,ru,Хащiв,ua,Хащiв
T,en,Shandrovets',ru,Шандровець,ua,Шандровець
T,en,Shum'jach,ru,Шум'яч,ua,Шум'яч
T,en,JAvora,ru,Явора,ua,Явора
T,en,JAvoriv,ru,Яворiв,ua,Яворiв
T,en,JAsenitsja,ru,Ясениця,ua,Ясениця
T,en,Girnik,ru,Гiрник,ua,Гiрник
T,en,Sosnivka,ru,Соснiвка,ua,Соснiвка
T,en,CHervonograd,ru,Червоноград,ua,Червоноград
T,en,Berdihiv,ru,Бердихiв,ua,Бердихiв
T,en,Birki,ru,Бiрки,ua,Бiрки
T,en,Buniv,ru,Бунiв,ua,Бунiв
T,en,Velikopole,ru,Великополе,ua,Великополе
T,en,Verbljani,ru,Вербляни,ua,Вербляни
T,en,Vizhomlja,ru,Вiжомля,ua,Вiжомля
T,en,Volja dobrostans'ka,ru,Воля Добростанська,ua,Воля Добростанська
T,en,Vorobljachin,ru,Вороблячин,ua,Вороблячин
T,en,Vorotsiv,ru,Вороцiв,ua,Вороцiв
T,en,Glinitsi,ru,Глиницi,ua,Глиницi
T,en,Grushiv,ru,Грушiв,ua,Грушiв
T,en,Dobrostani,ru,Добростани,ua,Добростани
T,en,Domazhir,ru,Домажир,ua,Домажир
T,en,Drogomishl',ru,Дрогомишль,ua,Дрогомишль
T,en,Dubrovitsja,ru,Дубровиця,ua,Дубровиця
T,en,Zavadiv,ru,Завадiв,ua,Завадiв
T,en,Zaluzhzhja,ru,Залужжя,ua,Залужжя
T,en,Ivano-frankove,ru,Iвано-Франкове,ua,Iвано-Франкове
T,en,Kalinivka,ru,Калинiвка,ua,Калинiвка
T,en,Kalitjaki,ru,Калитяки,ua,Калитяки
T,en,Kam'janobrid,ru,Кам'янобрiд,ua,Кам'янобрiд
T,en,Karachiniv,ru,Карачинiв,ua,Карачинiв
T,en,Kozhichi,ru,Кожичi,ua,Кожичi
T,en,Kolonitsi,ru,Колоницi,ua,Колоницi
T,en,Koti,ru,Коти,ua,Коти
T,en,Kohanivka,ru,Коханiвка,ua,Коханiвка
T,en,Krakovets',ru,Краковець,ua,Краковець
T,en,Lozino,ru,Лозино,ua,Лозино
T,en,Ljubini,ru,Любинi,ua,Любинi
T,en,Maloshkovichi,ru,Малошковичi,ua,Малошковичi
T,en,Mal'chitsi,ru,Мальчицi,ua,Мальчицi
T,en,Morjantsi,ru,Морянцi,ua,Морянцi
T,en,Muzhilovichi,ru,Мужиловичi,ua,Мужиловичi
T,en,Nagachiv,ru,Нагачiв,ua,Нагачiв
T,en,Nakonechne-druge,ru,Наконечне-Друге,ua,Наконечне-Друге
T,en,Nakonechne-pershe,ru,Наконечне-Перше,ua,Наконечне-Перше
T,en,Nemiriv,ru,Немирiв,ua,Немирiв
T,en,Novini,ru,Новини,ua,Новини
T,en,Novojavorivs'k,ru,Новояворiвськ,ua,Новояворiвськ
T,en,Oselja,ru,Оселя,ua,Оселя
T,en,Pidlubi,ru,Пiдлуби,ua,Пiдлуби
T,en,Porudenko,ru,Поруденко,ua,Поруденко
T,en,Prilbichi,ru,Прилбичi,ua,Прилбичi
T,en,Rogizno,ru,Рогiзно,ua,Рогiзно
T,en,Ruda krakovets'ka,ru,Руда Краковецька,ua,Руда Краковецька
T,en,Rjasne-rus'ke,ru,Рясне-Руське,ua,Рясне-Руське
T,en,Svidnitsja,ru,Свидниця,ua,Свидниця
T,en,Seredkevichi,ru,Середкевичi,ua,Середкевичi
T,en,Smolin,ru,Смолин,ua,Смолин
T,en,Starij JAr,ru,Старий Яр,ua,Старий Яр
T,en,Starichi,ru,Старичi,ua,Старичi
T,en,Stradch,ru,Страдч,ua,Страдч
T,en,Tarnovitsja,ru,Тарновиця,ua,Тарновиця
T,en,CHerniljava,ru,Чернилява,ua,Чернилява
T,en,CHerchik,ru,Черчик,ua,Черчик
T,en,CHolgini,ru,Чолгинi,ua,Чолгинi
T,en,Shklo,ru,Шкло,ua,Шкло
T,en,JAvoriv,ru,Яворiв,ua,Яворiв
T,en,JAsnis'ka,ru,Ясниська,ua,Ясниська
R,en,Mikolayivs'ka obl,ru,Миколаївська обл,ua,Миколаївська обл
T,en,Agronomija,ru,Агрономiя,ua,Агрономiя
T,en,Arbuzinka,ru,Арбузинка,ua,Арбузинка
T,en,Blagodatne,ru,Благодатне,ua,Благодатне
T,en,Buz'ke,ru,Бузьке,ua,Бузьке
T,en,Voevods'ke,ru,Воєводське,ua,Воєводське
T,en,Volja,ru,Воля,ua,Воля
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Kavuni,ru,Кавуни,ua,Кавуни
T,en,Kostjantinivka,ru,Костянтинiвка,ua,Костянтинiвка
T,en,Ljuboivanivka,ru,Любоiванiвка,ua,Любоiванiвка
T,en,Mar'janivka,ru,Мар'янiвка,ua,Мар'янiвка
T,en,Novij stavok,ru,Новий Ставок,ua,Новий Ставок
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novokrasne,ru,Новокрасне,ua,Новокрасне
T,en,Novoselivka,ru,Новоселiвка,ua,Новоселiвка
T,en,Oleksiyivka,ru,Олексiївка,ua,Олексiївка
T,en,Ostapivka,ru,Остапiвка,ua,Остапiвка
T,en,Poljanka,ru,Полянка,ua,Полянка
T,en,Rjabokoneve,ru,Рябоконеве,ua,Рябоконеве
T,en,Sadove,ru,Садове,ua,Садове
T,en,Semenivka,ru,Семенiвка,ua,Семенiвка
T,en,Bashtanka,ru,Баштанка,ua,Баштанка
T,en,Vinogradivka,ru,Виноградiвка,ua,Виноградiвка
T,en,Dobra krinitsja,ru,Добра Криниця,ua,Добра Криниця
T,en,Dobre,ru,Добре,ua,Добре
T,en,Ermolivka,ru,Єрмолiвка,ua,Єрмолiвка
T,en,Zelenij JAr,ru,Зелений Яр,ua,Зелений Яр
T,en,Ingulka,ru,Iнгулка,ua,Iнгулка
T,en,Kashpero-mikolayivka,ru,Кашперо-Миколаївка,ua,Кашперо-Миколаївка
T,en,Kostichi,ru,Костичi,ua,Костичi
T,en,Lenine,ru,Ленiне,ua,Ленiне
T,en,Lotskine,ru,Лоцкине,ua,Лоцкине
T,en,Mar'yivka,ru,Мар'ївка,ua,Мар'ївка
T,en,Novoivanivka,ru,Новоiванiвка,ua,Новоiванiвка
T,en,Novogeorgiyivka,ru,Новогеоргiївка,ua,Новогеоргiївка
T,en,Novogorozhene,ru,Новогорожене,ua,Новогорожене
T,en,Novoegorivka,ru,Новоєгорiвка,ua,Новоєгорiвка
T,en,Novooleksandrivka,ru,Новоолександрiвка,ua,Новоолександрiвка
T,en,Novopavlivka,ru,Новопавлiвка,ua,Новопавлiвка
T,en,Novosergiyivka,ru,Новосергiївка,ua,Новосергiївка
T,en,Novoukrayinka,ru,Новоукраїнка,ua,Новоукраїнка
T,en,Piski,ru,Пiски,ua,Пiски
T,en,Peremoga,ru,Перемога,ua,Перемога
T,en,Pljuschivka,ru,Плющiвка,ua,Плющiвка
T,en,Privil'ne,ru,Привiльне,ua,Привiльне
T,en,Starogorozhene,ru,Старогорожене,ua,Старогорожене
T,en,Tarasivka,ru,Тарасiвка,ua,Тарасiвка
T,en,Hristoforivka,ru,Христофорiвка,ua,Христофорiвка
T,en,JAvkine,ru,Явкине,ua,Явкине
T,en,Anatolivka,ru,Анатолiвка,ua,Анатолiвка
T,en,Andrievo-zorine,ru,Андрiєво-Зорине,ua,Андрiєво-Зорине
T,en,Berezanka,ru,Березанка,ua,Березанка
T,en,Vasilivka,ru,Василiвка,ua,Василiвка
T,en,Danilivka,ru,Данилiвка,ua,Данилiвка
T,en,Dmitrivka,ru,Дмитрiвка,ua,Дмитрiвка
T,en,Kimivka,ru,Кiмiвка,ua,Кiмiвка
T,en,Kobleve,ru,Коблеве,ua,Коблеве
T,en,Komisarivka,ru,Комiсарiвка,ua,Комiсарiвка
T,en,Krasne,ru,Красне,ua,Красне
T,en,Krasnopillja,ru,Краснопiлля,ua,Краснопiлля
T,en,Limani,ru,Лимани,ua,Лимани
T,en,Lugove,ru,Лугове,ua,Лугове
T,en,Malahove,ru,Малахове,ua,Малахове
T,en,Matijasove,ru,Матiясове,ua,Матiясове
T,en,Novofedorivka,ru,Новофедорiвка,ua,Новофедорiвка
T,en,Progresivka,ru,Прогресiвка,ua,Прогресiвка
T,en,Ribakivka,ru,Рибакiвка,ua,Рибакiвка
T,en,Tashine,ru,Ташине,ua,Ташине
T,en,Tronka,ru,Тронка,ua,Тронка
T,en,Tuzli,ru,Тузли,ua,Тузли
T,en,CHapaevka,ru,Чапаєвка,ua,Чапаєвка
T,en,CHervona ukrayinka,ru,Червона Українка,ua,Червона Українка
T,en,Berezneguvate,ru,Березнегувате,ua,Березнегувате
T,en,Berezneguvate vokzal,ru,Березнегувате Вокзал,ua,Березнегувате Вокзал
T,en,Bila krinitsja,ru,Бiла Криниця,ua,Бiла Криниця
T,en,Visuns'k,ru,Висунськ,ua,Висунськ
T,en,Kaluga,ru,Калуга,ua,Калуга
T,en,Lepetiha,ru,Лепетиха,ua,Лепетиха
T,en,Ljubomirivka,ru,Любомирiвка,ua,Любомирiвка
T,en,Maliyivka,ru,Малiївка,ua,Малiївка
T,en,Murahivka,ru,Мурахiвка,ua,Мурахiвка
T,en,Novovolodimirivka,ru,Нововолодимирiвка,ua,Нововолодимирiвка
T,en,Novoochakiv,ru,Новоочакiв,ua,Новоочакiв
T,en,Novosevastopol',ru,Новосевастополь,ua,Новосевастополь
T,en,Novoukrayinka,ru,Новоукраїнка,ua,Новоукраїнка
T,en,Ozerivka,ru,Озерiвка,ua,Озерiвка
T,en,Romanivka,ru,Романiвка,ua,Романiвка
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,Tetjanivka,ru,Тетянiвка,ua,Тетянiвка
T,en,Antonove,ru,Антонове,ua,Антонове
T,en,Brats'ke,ru,Братське,ua,Братське
T,en,Gannivka,ru,Ганнiвка,ua,Ганнiвка
T,en,Grigorivka,ru,Григорiвка,ua,Григорiвка
T,en,Illichivka,ru,Iллiчiвка,ua,Iллiчiвка
T,en,Kam'jano-kostuvate,ru,Кам'яно-Костувате,ua,Кам'яно-Костувате
T,en,Kam'januvatka,ru,Кам'януватка,ua,Кам'януватка
T,en,Kostuvate,ru,Костувате,ua,Костувате
T,en,Kriva pustosh,ru,Крива Пустош,ua,Крива Пустош
T,en,Ljudmilivka,ru,Людмилiвка,ua,Людмилiвка
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Miroljubivka,ru,Миролюбiвка,ua,Миролюбiвка
T,en,Mostove,ru,Мостове,ua,Мостове
T,en,Nadezhdivka,ru,Надеждiвка,ua,Надеждiвка
T,en,Novokostjantinivka,ru,Новокостянтинiвка,ua,Новокостянтинiвка
T,en,Novomar'javka,ru,Новомар'явка,ua,Новомар'явка
T,en,Novooleksandrivka,ru,Новоолександрiвка,ua,Новоолександрiвка
T,en,Obuhivka,ru,Обухiвка,ua,Обухiвка
T,en,Petropavlivka,ru,Петропавлiвка,ua,Петропавлiвка
T,en,Sergiyivka,ru,Сергiївка,ua,Сергiївка
T,en,Sokolivka,ru,Соколiвка,ua,Соколiвка
T,en,Uljanivka,ru,Улянiвка,ua,Улянiвка
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Bondarivka,ru,Бондарiвка,ua,Бондарiвка
T,en,Varjushine,ru,Варюшине,ua,Варюшине
T,en,Veselinove,ru,Веселинове,ua,Веселинове
T,en,Gradivka,ru,Градiвка,ua,Градiвка
T,en,Grigorivka,ru,Григорiвка,ua,Григорiвка
T,en,Zelene,ru,Зелене,ua,Зелене
T,en,Katerinivka,ru,Катеринiвка,ua,Катеринiвка
T,en,Kremenivka,ru,Кременiвка,ua,Кременiвка
T,en,Kubrjaki,ru,Кубряки,ua,Кубряки
T,en,Kudrjavtsivka,ru,Кудрявцiвка,ua,Кудрявцiвка
T,en,Lub'janka,ru,Луб'янка,ua,Луб'янка
T,en,Mikolayivka,ru,Миколаївка,ua,Миколаївка
T,en,Mihajlivka,ru,Михайлiвка,ua,Михайлiвка
T,en,Novovoskresenka,ru,Нововоскресенка,ua,Нововоскресенка
T,en,Novokaterinivka,ru,Новокатеринiвка,ua,Новокатеринiвка
T,en,Novosvitlivka,ru,Новосвiтлiвка,ua,Новосвiтлiвка
T,en,Pischanij brid,ru,Пiщаний Брiд,ua,Пiщаний Брiд
T,en,Podillja,ru,Подiлля,ua,Подiлля
T,en,Pokrovka,ru,Покровка,ua,Покровка
T,en,Porichchja,ru,Порiччя,ua,Порiччя
T,en,Stavki,ru,Ставки,ua,Ставки
T,en,Shirokolanivka,ru,Широколанiвка,ua,Широколанiвка
T,en,Shtukar,ru,Штукар,ua,Штукар
T,en,Aktove,ru,Актове,ua,Актове
T,en,Bilousivka,ru,Бiлоусiвка,ua,Бiлоусiвка
T,en,Buz'ke,ru,Бузьке,ua,Бузьке
T,en,Voznesens'k,ru,Вознесенськ,ua,Вознесенськ
T,en,Voznesens'ke,ru,Вознесенське,ua,Вознесенське
T,en,Voronivka,ru,Воронiвка,ua,Воронiвка
T,en,Grigorivs'ke,ru,Григорiвське,ua,Григорiвське
T,en,Dmitrivka,ru,Дмитрiвка,ua,Дмитрiвка
T,en,Doroshivka,ru,Дорошiвка,ua,Дорошiвка
T,en,Malosolone,ru,Малосолоне,ua,Малосолоне
T,en,Martinivs'ke,ru,Мартинiвське,ua,Мартинiвське
T,en,Novogrigorivka,ru,Новогригорiвка,ua,Новогригорiвка
T,en,Novosilka,ru,Новосiлка,ua,Новосiлка
T,en,Oleksandrivka,ru,Олександрiвка,ua,Олександрiвка
T,en,Pribuzhani,ru,Прибужани,ua,Прибужани
T,en,Prjame,ru,Пряме,ua,Пряме
T,en,Rakove,ru,Ракове,ua,Ракове
T,en,Taborivka,ru,Таборiвка,ua,Таборiвка
T,en,Timirjazevka,ru,Тiмiрязєвка,ua,Тiмiрязєвка
T,en,Trikrati,ru,Трикрати,ua,Трикрати
T,en,Trikratne,ru,Трикратне,ua,Трикратне
T,en,Troyits'ke,ru,Троїцьке,ua,Троїцьке
T,en,Shevchenko,ru,Шевченко,ua,Шевченко
T,en,Scherbani,ru,Щербанi,ua,Щербанi
T,en,Scherbanivs'ke,ru,Щербанiвське,ua,Щербанiвське
T,en,JAstrubinove,ru,Яструбинове,ua,Яструбинове
T,en,Adamivka,ru,Адамiвка,ua,Адамiвка
T,en,Bogemka,ru,Богемка,ua,Богемка
T,en,Velikovesele,ru,Великовеселе,ua,Великовеселе
T,en,Vradiyivka,ru,Врадiївка,ua,Врадiївка
T,en,Guljanits'ke,ru,Гуляницьке,ua,Гуляницьке
T,en,Dobrozhanivka,ru,Доброжанiвка,ua,Доброжанiвка
T,en,Zhovtneve,ru,Жовтневе,ua,Жовтневе
T,en,Zaharivka,ru,Захарiвка,ua,Захарiвка
T,en,Ivanivka,ru,Iванiвка,ua,Iванiвка
T,en,Krasnopil',ru,Краснопiль,ua,Краснопiль
T,en,Kumari,ru,Кумарi,ua,Кумарi
T,en,Novovasilivka,ru,Нововасилiвка,ua,Нововасилiвка
T,en,Novopavlivka,ru,Новопавлiвка,ua,Новопавлiвка
T,en,Sirove,ru,Сирове,ua,Сирове
T,en,Fedorivka,ru,Федорiвка,ua,Федорiвка
T,en,Filimonivka,ru,Филимонiвка,ua,Филимонiвка
T,en,Bogdanivka,ru,Богданiвка,ua,Богданiвка
T,en,Bogdanivs'ke,ru,Богданiвське,ua,Богданiвське
T,en,Viktorivka,ru,Вiкторiвка,ua,Вiкторiвка
T,en,Volodimirivka,ru,Володимирiвка,ua,Володимирiвка
